	TweetID	Tweet	Score
0	413003745127956480	<USER> Hi Bethenny . I would like to try your new sparkling water and I live in Chicago but I ca n't find them . Thanks for your help . 	4.5
1	310951314643382272	<USER> I would like to suggest a bakery that u should try and its called The Measuring Cup in East Dundee IL . 	4.5
2	860174326724788225	How would you answer this : 'How often do you submit poll questions ? ' <URL>	2.5
3	703993411460665346	'I do n't know who you are . . . But I love you . ' ~ Valarie 's Letter in V for Vendetta; quoted from a depression survivor . #RIPAlex	3.1666666666666665
4	448178877492629504	<USER> *sends you hugs and cookies*	2.0
5	427139009744482304	<USER> have you ever heard of a band called Fall Out Boy ? I heard their singer is pretty rad . 	3.0
6	539630218810781696	Father , I feel in my spirit a need to send a special prayer to all my Facebook friends and to all those . . . <URL>	2.6666666666666665
7	463337717188005888	=Message of the day= =<URL> =WHAT MIRACLES . . . <URL>	2.1666666666666665
8	449022269428232192	I do n't understand how horrible people manage to make friends . 	2.1666666666666665
9	385280092357685248	'<USER> : Rt if you 're a mermaid ! ' <USER>	1.6666666666666667
10	733042261332611072	My prof fucked up the exam and is only gonna grade us on the easy Qs  ☺ ️ ☺ ️ ☺ ️ ☺ ️	3.8333333333333335
11	873057204554784772	Cuanto chingo , I already know . lol	2.333333333333333
12	281125915558309888	I 've collected 6 , 405 gold coins ! <URL> #android , #androidgames , #gameinsight	3.0
13	825857397939924993	I 've collected 10 , 775 gold coins ! <URL> #android , #androidgames , #gameinsight	3.0
14	922929773961244672	Ya MCM a bum .  🗣 	1.4
15	922870992237678599	“DO YOU LOOK LIKE THE TYPE OF NIGGA THAT PLAY SOCCER”  😭  <URL>	1.8333333333333333
16	848345557424852992	boys are boys and girls are joys	2.333333333333333
17	350841459441799169	Sometimes I hope I'm looking at the same moon as you	2.1666666666666665
18	804136782266777600	<USER> the king of all Crying Jordan 's ? <URL>	2.1666666666666665
19	840400077978030080	The <USER> Tournament has been very entertaining . And <USER> is right in the middle of it . Great games today ! 	3.0
20	738458798462013444	Dementia is a truly horrible disease for everyone it affects . Touching and honest perspective on <USER> #dementia	4.166666666666667
21	856085643713183744	Excited to be heading down to the <USER> today to cheer on all the amazing people running for <USER>	3.333333333333333
22	344855324500566018	<USER> Oh , well it 's a pretty awesome secret . hahaha . 	1.0
23	862250066144350208	<USER> Wishing Lily , you , and your family all the love , strength , and support in the world today . 	3.0
24	837471090809135106	<USER> love you guys , but do n't you feel a need to address this	1.3333333333333333
